Time (s),Power (dBm),Percentage (%)
0.302231789,-41,100
0.703516006,-45,100
1.304444313,-39,100
1.707725525,-41,100
2.308822632,-45,100
2.710106373,-51,98
3.313033581,-49,100
3.717465401,-60,80
4.318238735,-62,76
4.718525410,-65,70
5.121801853,-62,76
5.722736835,-69,62
6.124014854,-62,76
6.732933521,-67,66
7.133215427,-65,70
7.737164974,-62,76
8.137424469,-67,66
8.739354610,-77,46
9.139637470,-71,58
9.743564606,-61,78
10.143846512,-53,94
10.748324394,-65,70
11.149050236,-62,76
11.751982689,-51,98
12.153263092,-53,94
12.754195690,-49,100
13.155415058,-55,90
13.758404732,-53,94
14.162356377,-53,94
14.762300968,-64,72
15.163894177,-60,80
15.767821312,-62,76
16.168223381,-65,70
16.769157886,-71,58
17.170435905,-62,76
17.777302265,-65,70
18.177639484,-67,66
18.778572082,-71,58
19.181867123,-67,66
19.782781124,-59,82
20.184065342,-62,76
20.784994125,-53,94
21.185279846,-61,78
21.792202949,-57,86
22.192484379,-63,74
22.793412209,-51,98
23.196693420,-55,90
23.798574448,-57,86
24.198905468,-57,86
24.802828789,-57,86
25.203194618,-67,66
25.807117939,-64,72
26.208307743,-62,76
26.811974049,-60,80
27.212611198,-69,62
27.813539028,-73,54
28.213825703,-73,54
28.817749023,-71,58
29.221982002,-73,54
29.622310162,-71,58
30.223242760,-75,50
30.626841545,-67,66
31.228007793,-62,76
31.628732204,-69,62
32.229663849,-59,82
32.632941246,-62,76
33.236868382,-55,90
33.637150288,-59,82
34.238082886,-55,90
34.642104626,-57,86
35.243270874,-49,100
35.644046307,-43,100
36.247973442,-41,100
36.648255348,-39,100
37.252182484,-37,100
37.652484894,-41,100
38.254395008,-39,100
38.657782555,-57,86
39.258713722,-57,86
39.661991119,-49,100
40.262923718,-53,94
40.664203644,-53,94
41.267132759,-47,100
41.668413162,-47,100
42.272339821,-45,100
42.672622204,-53,94
43.273556709,-47,100
43.676834106,-51,98
44.278761864,-53,94
44.679044247,-47,100
45.282970905,-49,100
45.683255196,-43,100
46.287180424,-62,76
46.688460350,-55,90
47.289392948,-53,94
47.692670345,-49,100
48.296597481,-53,94
48.696879387,-53,94
49.298007011,-51,98
49.702042103,-58,84
