Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-7.347334,-0.3421959,0.588203,-1.042043,-0.1282506,-0.09627699,54.88386,5.345317,-8.625113,1002.21
0.005055428,-6.734358,-0.3421959,0.588203,-1.038507,-0.1360248,-0.09267796,54.88386,5.345317,-8.625113,1002.21
0.010110855,-6.121383,-0.281599,0.588203,-1.032134,-0.1345324,-0.08695524,54.88386,5.345317,-8.625113,1002.21
0.015166283,-5.814895,0.08198221,0.5269679,-1.035141,-0.127299,-0.08626423,54.88386,5.345317,-8.625113,1002.21
0.020221233,-5.508407,0.3243697,0.710673,-1.027156,-0.1341459,-0.07406612,54.88386,5.345317,-8.625113,1002.21
0.025276661,-5.631002,0.5667572,0.771908,-1.029975,-0.1424963,-0.07233668,54.88386,5.345317,-8.625113,1002.21
0.030332088,-5.876192,0.5061603,0.710673,-1.032493,-0.1323994,-0.06726874,54.88386,5.345317,-8.625113,1002.21
0.035387039,-6.121383,0.7485478,0.9556131,-1.034507,-0.1332742,-0.07636826,54.88386,5.345317,-8.625113,1002.21
0.040442467,-5.569705,0.3849666,1.016848,-1.034554,-0.1274736,-0.07382662,54.88386,5.345317,-8.625113,1002.21
0.045497894,-5.201919,0.6879509,1.016848,-1.033024,-0.1351852,-0.07690959,54.88386,5.345317,-8.625113,1002.21
0.050553322,-5.018026,0.4455635,0.8331431,-1.031063,-0.1313571,-0.07012829,54.50457,5.705662,-8.622805,1002.21
0.055608273,-4.343753,0.203176,1.078083,-1.030629,-0.1288669,-0.07342038,54.50457,5.705662,-8.622805,1002.21
0.060663700,-4.221158,0.203176,1.261788,-1.030594,-0.1217909,-0.05839951,54.50457,5.705662,-8.622805,1002.21
0.065719128,-4.098563,0.3849666,1.445493,-1.037375,-0.1258229,-0.05748039,54.50457,5.705662,-8.622805,1002.21
0.070774555,-4.159861,0.2637728,1.384258,-1.03887,-0.12246,-0.05642328,54.50457,5.705662,-8.622805,1002.21
0.075829506,-4.527646,0.3243697,1.506728,-1.039789,-0.1268693,-0.05556914,54.50457,5.705662,-8.622805,1002.21
0.080884933,-4.956729,-0.3421959,1.445493,-1.043664,-0.1308044,-0.05754754,54.50457,5.705662,-8.622805,1002.21
0.085940361,-5.140622,-1.129955,1.629198,-1.050467,-0.1295574,-0.05170649,54.50457,5.705662,-8.622805,1002.21
0.090995312,-5.140622,-1.190552,1.445493,-1.051879,-0.1273014,-0.04158198,54.50457,5.705662,-8.622805,1002.21
