Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,0.2876766,0.8957703,0.1938763,0.1231015,0.8966051,-0.3914945,-14.89971,-47.40762,14.36766,1002.001
0.005010128,0.1035491,0.8352408,-0.05066701,0.1227263,0.8928222,-0.3969275,-14.89971,-47.40762,14.36766,1002.001
0.010020256,0.1649249,1.198417,0.01046882,0.1212298,0.8937076,-0.3940248,-14.89971,-47.40762,14.36766,1002.001
0.015030861,0.1035491,1.016829,-0.1118028,0.1182801,0.8955818,-0.3925398,-14.89971,-47.40762,14.36766,1002.001
0.020040512,0.1035491,1.077358,-0.2952103,0.1154659,0.8932384,-0.3984214,-14.90575,-47.41348,14.82494,1002.001
0.025050640,-0.2033302,1.077358,-0.6008895,0.1159093,0.8916323,-0.3922318,-14.90575,-47.41348,14.82494,1002.001
0.030060768,-0.08057852,1.137888,-0.2340745,0.1178392,0.8976986,-0.3996709,-14.90575,-47.41348,14.82494,1002.001
0.035070419,-0.1419544,1.016829,-0.417482,0.1149523,0.8921521,-0.3941431,-14.90575,-47.41348,14.82494,1002.001
0.040080547,-0.3874578,1.077358,-0.6008895,0.1168313,0.8955721,-0.3930343,-14.90575,-47.41348,14.82494,1002.001
0.045091152,-0.08057852,1.016829,-0.5397537,0.120229,0.8910931,-0.3874067,-14.90575,-47.41348,14.82494,1002.001
0.050100803,-0.2033302,1.258947,-0.6620253,0.114408,0.8925061,-0.3888492,-14.90575,-47.41348,14.82494,1002.001
0.055110931,-0.326082,1.380006,-0.7231612,0.1178496,0.8911613,-0.391751,-14.90575,-47.41348,14.82494,1002.001
0.060121059,-0.2647061,1.380006,-0.7231612,0.1179491,0.8863522,-0.394816,-14.90575,-47.41348,14.82494,1002.001
