Time (s),W,X,Y,Z
0.007682323,-0.385572,-0.6218244,0.3971967,0.5509367
0.012733459,-0.3855904,-0.6218044,0.39719,0.5509511
0.017788887,-0.3855958,-0.6217886,0.3971741,0.5509766
0.022844314,-0.3855869,-0.621778,0.3971478,0.5510138
0.027899265,-0.385563,-0.6217707,0.3971173,0.5510607
0.032954693,-0.3855552,-0.6217725,0.3970825,0.551089
0.038013458,-0.3854995,-0.6217939,0.3970393,0.5511352
0.043066025,-0.3854629,-0.6218001,0.3969964,0.5511848
0.048121452,-0.385403,-0.6218258,0.3969471,0.5512333
0.053176403,-0.3853471,-0.6218567,0.3968935,0.5512758
0.058231830,-0.3852844,-0.621889,0.396847,0.5513167
0.063287258,-0.3852195,-0.621935,0.3967865,0.5513539
0.068342685,-0.3851497,-0.6219858,0.3967292,0.5513865
0.073398590,-0.385087,-0.6220294,0.3966779,0.5514181
0.078454017,-0.3850241,-0.6220831,0.3966194,0.5514435
0.083508968,-0.384973,-0.6221499,0.3965583,0.5514476
0.088564396,-0.3849206,-0.6222225,0.3964982,0.5514454
0.093619823,-0.3848661,-0.6222953,0.3964429,0.5514411
0.098674774,-0.3847955,-0.622395,0.3963808,0.5514225
0.103730202,-0.3847194,-0.6225089,0.3963127,0.551396
0.108785629,-0.3846495,-0.6226234,0.3962373,0.5513696
0.113841533,-0.384552,-0.6227608,0.3961606,0.5513377
0.118896961,-0.3844481,-0.6229057,0.3960806,0.5513039
0.123951912,-0.3843315,-0.6230581,0.3960004,0.5512705
0.129007339,-0.3842159,-0.623215,0.3959209,0.551231
0.134062767,-0.3840909,-0.6233817,0.3958261,0.5511978
0.139118194,-0.3839562,-0.6235706,0.395724,0.5511511
0.144173145,-0.3838241,-0.6237704,0.3956161,0.5510945
0.149229526,-0.3836841,-0.6239974,0.3954973,0.5510201
0.154284477,-0.3835671,-0.6242111,0.395386,0.5509396
0.159339905,-0.3834715,-0.6244159,0.3952743,0.5508542
0.161867142,-0.3834184,-0.6245206,0.3952201,0.5508114
0.166923046,-0.3833545,-0.6247144,0.3951105,0.5507147
0.171978473,-0.3833026,-0.6248909,0.395012,0.5506213
0.177033901,-0.3832753,-0.6250512,0.3949116,0.5505303
0.182088852,-0.3832599,-0.6251981,0.3948239,0.5504371
0.187144279,-0.3832735,-0.6253225,0.3947512,0.5503384
0.192199707,-0.3833004,-0.6254407,0.3946915,0.5502282
0.197255611,-0.3833294,-0.6255586,0.394645,0.5501074
0.202311039,-0.3833806,-0.6256511,0.3946036,0.5499961
0.207366466,-0.3834441,-0.6257319,0.3945651,0.5498875
0.212421417,-0.3835148,-0.6258089,0.3945303,0.5497756
0.217476845,-0.3835734,-0.6258904,0.3944933,0.5496684
0.222532272,-0.3836466,-0.6259598,0.394459,0.5495629
0.227587223,-0.3837333,-0.6260119,0.3944366,0.5494592
0.232642650,-0.3838396,-0.626048,0.3944172,0.5493576
0.237698555,-0.3839469,-0.626079,0.3943975,0.5492616
0.242753982,-0.3840379,-0.62612,0.394376,0.5491667
0.247813225,-0.3841303,-0.626167,0.3943472,0.5490692
0.252864361,-0.3842108,-0.6262139,0.3943284,0.5489728
0.257919788,-0.3842782,-0.6262538,0.3943127,0.5488911
0.262975216,-0.3843271,-0.6263097,0.3942859,0.5488124
0.268030643,-0.3843748,-0.6263546,0.3942607,0.5487461
0.273086548,-0.3844155,-0.6263971,0.3942344,0.5486878
0.278141975,-0.3844413,-0.6264382,0.3942043,0.5486445
0.283196926,-0.384418,-0.6264982,0.3941572,0.5486262
0.288252354,-0.3843971,-0.6265557,0.3941084,0.5486102
0.293307781,-0.384379,-0.6266171,0.3940555,0.5485907
0.298362732,-0.3843581,-0.6266588,0.3940106,0.5485899
0.303418159,-0.3843425,-0.6266931,0.3939596,0.5485982
0.308474064,-0.3843156,-0.6267342,0.3938972,0.5486151
0.313529491,-0.3842778,-0.6267811,0.3938362,0.5486316
0.318584919,-0.3842542,-0.6268152,0.393776,0.5486525
0.323639870,-0.3842472,-0.6268265,0.393716,0.5486876
0.328695297,-0.3842437,-0.6268315,0.3936534,0.5487292
0.333750725,-0.3842311,-0.6268348,0.3935838,0.5487843
0.338806152,-0.3842174,-0.626845,0.3935069,0.5488372
0.343862057,-0.3841914,-0.6268419,0.3934345,0.548911
0.348917484,-0.384165,-0.6268343,0.3933616,0.5489905
0.353972435,-0.3841552,-0.626824,0.3932813,0.5490665
0.359027862,-0.3841335,-0.6268016,0.3932042,0.5491626
0.364083290,-0.3840788,-0.6267959,0.3931282,0.5492615
0.369138241,-0.3840095,-0.6268062,0.3930504,0.549354
0.374193668,-0.3839377,-0.6268204,0.3929666,0.5494479
0.379253864,-0.3838477,-0.6268538,0.3928934,0.549525
