Time (s),W,X,Y,Z
0.000000000,0.1698186,0.9356253,-0.3030286,0.02383882
0.005008221,0.1698437,0.9356248,-0.3030058,0.02397071
0.010016918,0.1700264,0.9355701,-0.303059,0.02413341
0.015026093,0.170291,0.9354883,-0.3031526,0.02426394
0.020034790,0.170597,0.9353881,-0.3032825,0.02435506
0.025043488,0.170915,0.9352824,-0.3034245,0.02441563
0.030052662,0.1712248,0.9351785,-0.3035651,0.02447827
0.035061359,0.1715241,0.9350685,-0.303729,0.02455074
0.040070057,0.1718093,0.9349571,-0.3039055,0.02461805
0.045079231,0.1720916,0.9348397,-0.3041008,0.02469029
0.050087929,0.1723605,0.9347194,-0.3043099,0.02479068
0.055096626,0.1726378,0.9346148,-0.3044635,0.02492168
0.060105801,0.1729074,0.9345156,-0.3046014,0.0250889
0.065114498,0.1731477,0.9344237,-0.3047327,0.02525744
0.070123196,0.1732985,0.934361,-0.3048243,0.02543265
0.075132370,0.1733424,0.9343322,-0.3048749,0.02558997
0.080141068,0.1732697,0.9343247,-0.3049284,0.02571651
0.085149765,0.1730502,0.9343593,-0.3049382,0.02581973
0.090158939,0.1727282,0.9344174,-0.3049372,0.02588267
0.095167637,0.1723119,0.9344896,-0.3049495,0.02590762
0.100176334,0.1718245,0.9345729,-0.3049701,0.02589581
0.105185509,0.1713047,0.9346499,-0.305029,0.02586841
0.110194206,0.1707801,0.9347105,-0.3051412,0.02582835
0.115202427,0.1702905,0.9347543,-0.3052843,0.02578647
0.117707253,0.1700569,0.9347728,-0.3053584,0.02577486
0.122715950,0.16964,0.934787,-0.3055487,0.025756
0.127725124,0.1692945,0.9347762,-0.3057729,0.02575783
0.132733822,0.1690001,0.9347532,-0.3060047,0.02577303
0.137742519,0.1687643,0.9347166,-0.3062439,0.02580797
0.142751217,0.1685649,0.9346712,-0.3064874,0.02585766
0.147760391,0.1683861,0.9346178,-0.3067448,0.02590442
0.152769089,0.1682179,0.9345546,-0.307025,0.02595603
0.157777309,0.1680441,0.9344777,-0.3073486,0.02602492
0.162786961,0.1678522,0.9344015,-0.3076799,0.0260864
0.167795658,0.1676688,0.9343105,-0.3080502,0.02615146
0.172803879,0.1674896,0.9342132,-0.3084357,0.02623106
0.177813530,0.1673448,0.9341034,-0.308837,0.0263425
0.182821751,0.1672281,0.9339833,-0.3092505,0.02649173
0.187826633,0.1671602,0.9338523,-0.3096661,0.02668645
0.192835808,0.1671169,0.9337249,-0.3100519,0.02692755
0.197844505,0.1670912,0.9336094,-0.3103894,0.02720821
0.202853203,0.1670514,0.9335048,-0.3106965,0.02752907
0.207862377,0.1669982,0.9334044,-0.3109962,0.02787069
0.212871075,0.166913,0.9333223,-0.3112556,0.02823707
0.217879772,0.1668308,0.9332343,-0.311529,0.02861051
0.222888947,0.1667514,0.9331402,-0.3118208,0.02896299
0.227897644,0.1666721,0.9330437,-0.3121197,0.02930404
0.232905865,0.1665665,0.9329558,-0.3124084,0.02962854
0.237915516,0.1664374,0.9328707,-0.3127016,0.02993689
0.242924213,0.1662653,0.9327957,-0.3129874,0.03024127
0.247932434,0.1660943,0.9327163,-0.3132848,0.03054836
0.252942085,0.1659239,0.9326303,-0.3136028,0.03083862
0.257950306,0.1657819,0.9325292,-0.3139497,0.03112988
0.262959004,0.1656487,0.932421,-0.3143132,0.03140659
0.267968178,0.1654822,0.9323128,-0.3146991,0.03163308
0.272976875,0.165226,0.9322168,-0.315099,0.03181816
0.277985573,0.1648953,0.9321295,-0.3155141,0.03198124
0.282995701,0.1645212,0.9320338,-0.3159752,0.0321442
0.288003445,0.1641842,0.9319043,-0.3165114,0.03234883
0.293012142,0.1639042,0.9317378,-0.3171206,0.03259562
0.298021317,0.1636539,0.931546,-0.3177812,0.03289533
0.303030014,0.1633818,0.9313464,-0.3184729,0.0332125
0.308038712,0.1630228,0.9311585,-0.3191735,0.03351507
0.313047886,0.1625096,0.9310085,-0.3198423,0.03380245
0.318056583,0.1618351,0.9308877,-0.3205066,0.03407079
0.323065281,0.161005,0.9307949,-0.3211667,0.03432131
0.328074455,0.160064,0.9307129,-0.3218485,0.03455735
0.333083153,0.1591033,0.9306101,-0.3225958,0.03479228
0.338091850,0.1581759,0.9304847,-0.3233848,0.03504958
0.343100071,0.1573435,0.9303316,-0.3241985,0.03534158
0.348109722,0.1566209,0.9301526,-0.3250287,0.03564047
0.353118420,0.1559722,0.9299472,-0.3258964,0.03591687
0.358126640,0.1553446,0.9297271,-0.3267957,0.03616644
0.363136292,0.1546867,0.9295284,-0.327645,0.0364075
0.368144512,0.1539569,0.929361,-0.3284342,0.03666151
0.373153210,0.1531667,0.929214,-0.3291883,0.03693229
0.378162384,0.1523506,0.9290773,-0.3299201,0.03721699
0.383171082,0.1515335,0.9289387,-0.3306515,0.03751795
0.388175964,0.1507441,0.9287924,-0.3313877,0.03782456
0.393185139,0.1499977,0.9286351,-0.3321289,0.0381529
0.398193836,0.1493015,0.928457,-0.3328997,0.03850085
0.403202534,0.1486404,0.9282553,-0.3337125,0.03888372
0.408211708,0.148026,0.9280241,-0.334579,0.03929621
0.413220406,0.147499,0.9277614,-0.335487,0.0397393
0.418233395,0.1470628,0.9274744,-0.336415,0.04020421
0.423238278,0.1467126,0.9271635,-0.3373663,0.04068184
0.428246975,0.1464552,0.9268218,-0.3383578,0.04115818
0.433255196,0.1462685,0.9264504,-0.3393969,0.04162449
0.438264847,0.1461432,0.9260554,-0.3404741,0.04205527
0.443273068,0.1460605,0.9256485,-0.3415655,0.04245009
0.448281765,0.1460066,0.9252208,-0.342702,0.04279505
0.453290939,0.1459625,0.9247795,-0.343873,0.04309224
0.458299637,0.1459154,0.9243295,-0.3450679,0.04335252
0.463308334,0.1458365,0.9238642,-0.3463189,0.0435603
0.468317509,0.1456971,0.9233906,-0.3476166,0.04373164
0.473326206,0.145436,0.9229209,-0.3489543,0.0438602
0.478334904,0.145048,0.9224561,-0.3503301,0.04395583
0.483344078,0.1445105,0.9220105,-0.3517139,0.04402594
0.488352776,0.1437943,0.9215923,-0.3530932,0.04408633
0.493361473,0.1428894,0.9212112,-0.3544471,0.04413034
