Time (s),Power (dBm),Percentage (%)
0.258814812,-43,100
0.859757423,-45,100
1.264046192,-67,66
1.868843079,-53,94
2.268173695,-51,98
2.869221210,-43,100
3.273509502,-49,100
3.873392582,-51,98
4.275567055,-45,100
4.679035664,-47,100
5.278499126,-45,100
5.679275513,-49,100
6.284210682,-55,90
6.688499451,-53,94
7.289441109,-59,82
7.693729401,-51,98
8.298574925,-63,74
8.698061943,-59,82
9.303895950,-67,66
9.703833103,-67,66
10.305134773,-65,70
10.709422111,-71,58
11.313359261,-62,76
11.713251114,-69,62
12.318464279,-62,76
12.718886852,-71,58
13.319828034,-57,86
13.724116325,-49,100
14.328659535,-65,70
14.728669167,-51,98
15.334282875,-57,86
15.738574505,-53,94
16.339188576,-57,86
16.739809036,-62,76
17.343745709,-55,90
17.748581886,-53,94
18.348978520,-51,98
18.749271870,-59,82
19.353209019,-60,80
19.754504681,-60,80
20.363431454,-59,82
20.763726711,-55,90
21.364668846,-47,100
21.769705772,-57,86
22.373758793,-45,100
22.773261070,-53,94
23.174483776,-53,94
23.783412456,-55,90
24.183892727,-67,66
24.784649849,-62,76
25.188938618,-65,70
25.794871807,-65,70
26.199162483,-65,70
26.799104214,-73,54
27.203784466,-71,58
27.804335117,-67,66
28.204516888,-60,80
28.808572292,-71,58
29.207864761,-57,86
29.808807373,-53,94
30.208761215,-51,98
30.810045242,-59,82
31.214333534,-57,86
31.813673973,-61,78
32.215534210,-65,70
32.814517021,-53,94
33.218805790,-57,86
33.818057537,-53,94
34.219045639,-62,76
34.822982788,-60,80
35.222620010,-57,86
35.824220180,-62,76
36.228508949,-51,98
36.828179359,-59,82
37.229746819,-55,90
37.833683968,-57,86
38.233627796,-59,82
38.838916779,-51,98
39.243202686,-43,100
39.843291283,-49,100
40.244440556,-49,100
40.853368759,-47,100
41.253592014,-55,90
41.854606628,-53,94
42.258895397,-51,98
42.863577843,-67,66
43.265124321,-49,100
43.869061470,-47,100
44.268358707,-49,100
44.870299339,-39,100
45.273589611,-39,100
45.873533726,-39,100
46.277822018,-37,100
46.679115772,-43,100
47.288043499,-43,100
47.688339710,-39,100
48.289281368,-39,100
48.693570137,-37,100
49.298375607,-47,100
49.697873592,-41,100
50.303736210,-44,100
50.703622818,-44,100
51.304974079,-43,100
51.709262371,-49,100
52.313199520,-37,100
52.713082313,-49,100
53.319428444,-39,100
53.718725681,-43,100
54.319668293,-43,100
54.724753857,-39,100
55.328808308,-49,100
55.728771210,-57,86
56.333198071,-49,100
56.734056473,-49,100
57.337357044,-49,100
57.739649296,-53,94
58.348577023,-42,100
58.748587131,-53,94
59.349967003,-51,98
59.754103661,-57,86
60.358384609,-41,100
60.759334564,-47,100
61.363271713,-42,100
61.763566971,-41,100
62.363677979,-53,94
62.763806820,-43,100
63.368551254,-43,100
63.767885208,-55,90
64.368981361,-49,100
64.768886089,-49,100
65.372802734,-49,100
65.773113251,-49,100
66.173805237,-43,100
66.778699398,-49,100
67.184026718,-51,98
67.783975124,-45,100
68.188259602,-44,100
68.794192791,-47,100
69.198481560,-41,100
69.798387527,-47,100
70.199719429,-47,100
70.808647633,-55,90
71.212936401,-39,100
71.814876556,-47,100
72.219165325,-51,98
72.823102474,-53,94
73.223007202,-45,100
73.824340343,-43,100
74.228630543,-53,94
74.827928066,-53,94
75.228868485,-51,98
75.828793049,-45,100
76.233100891,-41,100
76.832764626,-43,100
77.233340740,-41,100
77.838105202,-55,90
78.237440109,-41,100
78.838515282,-47,100
79.238305569,-49,100
79.839753151,-37,100
80.243118286,-55,90
80.843132973,-41,100
81.244280815,-47,100
81.853209496,-51,98
82.253504753,-37,100
82.854446888,-51,98
83.258735657,-47,100
83.863520145,-55,90
84.263607979,-55,90
84.868901730,-55,90
85.273190498,-55,90
85.872916222,-55,90
86.274427891,-55,90
86.678716659,-53,94
87.283149719,-53,94
87.683536529,-53,94
88.287886620,-51,98
88.688179970,-51,98
89.289122105,-51,98
89.693427086,-53,94
90.297711372,-47,100
90.697853565,-45,100
91.303576469,-60,80
91.703650474,-51,98
